country_code,country_cn,country_en,year,education_expenditure_pct_gdp,pop_15_64_pct,population_total,rd_expenditure_pct_gdp,researchers_per_million,researchers_per_million_fte,stem_graduates_pct,technicians_per_million,tertiary_completion_25_34_pct,tertiary_enrollment_total,tertiary_gross_enrollment_pct,tertiary_spend_per_student_pct_gdp_pc
ARE,阿联酋,United Arab Emirates,2015,,81.6642098864586,8505237.0,0.8657,2168.42732,,,,,156613.0,,
ARE,阿联酋,United Arab Emirates,2016,,81.7037621944191,8935095.0,0.9318,2509.55341,,,,,159553.0,,
ARE,阿联酋,United Arab Emirates,2017,,81.7573549214794,9223225.0,,,,,,,191794.0,,
ARE,阿联酋,United Arab Emirates,2018,,81.7897488678028,9346701.0,1.26389,2464.56964,,,889.5377,,,53.2113281680102,
ARE,阿联酋,United Arab Emirates,2019,3.86020994186401,81.8226037478217,9445785.0,1.305325,2476.63113,,,,,,53.8814655213653,
ARE,阿联酋,United Arab Emirates,2020,3.98417997360229,81.8563407363944,9401038.0,1.48831,2581.47405,1350.0,,,,,54.9746998074699,
ARE,阿联酋,United Arab Emirates,2021,3.89403009414673,81.87240475274,9575152.0,1.49469,2606.78477,,,,,,56.4520334436146,
ARE,阿联酋,United Arab Emirates,2022,,81.8846579747203,10074977.0,,,,,,,,60.4188226013954,
ARE,阿联酋,United Arab Emirates,2023,,81.9654257470884,10483751.0,,,,,,,,61.3456114422447,
ARE,阿联酋,United Arab Emirates,2024,,82.1220600575181,10986400.0,,,,,,,,63.7384451086316,
CAN,加拿大,Canada,2015,4.7393798828125,67.7571212622664,35704498.0,1.69359,4545.96875,,,1455.58808,,1564125.0,67.2690963745117,36.93396
CAN,加拿大,Canada,2016,4.81642007827759,67.3902081027321,36110803.0,1.72903,4400.49278,,,1247.83745,,1593383.0,69.2459411621094,31.44008
CAN,加拿大,Canada,2017,4.95996999740601,67.0699290855306,36545075.0,1.68702,4429.05796,,,1268.37307,,1625578.0,70.2687072753906,
CAN,加拿大,Canada,2018,4.8889799118042,66.7853309042324,37072620.0,1.7372,4715.91861,,,,,1622693.0,69.3507232666016,
CAN,加拿大,Canada,2019,4.77293014526367,66.4846890068848,37618495.0,1.75578,4850.93689,,,,,,73.1128768920898,
CAN,加拿大,Canada,2020,4.88794994354248,66.1382867429556,38028638.0,1.93414,5155.65021,,,,,,75.2389068603516,
CAN,加拿大,Canada,2021,4.74860000610352,65.7746528539238,38239864.0,1.777155,5411.82682,4876.0,24.0,,,,79.7657318115234,
CAN,加拿大,Canada,2022,4.88021993637085,65.5113452142292,38935934.0,1.71166,,,,,66.0,,78.8984985351562,
CAN,加拿大,Canada,2023,,65.3373373940366,40083484.0,1.70133,,,,,,,76.2586212158203,
CAN,加拿大,Canada,2024,,65.0890886641808,41288599.0,,,,,,,,,
CHN,中国,China,2015,,71.6284345359877,1379860000.0,2.05701,1162.7108,,,,,43367394.0,47.1192619330726,
CHN,中国,China,2016,,71.2044525051679,1387790000.0,2.10033,1208.86205,,,,,43886104.0,49.309077375597,
CHN,中国,China,2017,,70.6659121055216,1396215000.0,2.11603,1235.84935,,,,,44127509.0,51.0678812273407,
CHN,中国,China,2018,,70.1553162360731,1402760000.0,2.14058,1317.48914,,,,,44935169.0,53.3987984572814,
CHN,中国,China,2019,,69.74115264804,1407745000.0,2.24463,1483.85803,,,,,46993614.0,56.6050917923292,
CHN,中国,China,2020,,69.3999249325134,1411100000.0,2.40666,1600.30633,,35.0,,,,61.6124675996947,
CHN,中国,China,2021,,69.2124049434275,1412360000.0,2.4313000000000002,1685.97511,1585.0,,,,,66.8186077597542,
CHN,中国,China,2022,,69.0962698960779,1412175000.0,2.55518,1849.23669,,,,,,71.5799465086024,
CHN,中国,China,2023,4.00127983093262,69.0943118083391,1410710000.0,,,,,,,,74.5933014618366,
CHN,中国,China,2024,,69.3269188307508,1408975000.0,,,,,,,,76.8757843123403,
DEU,德国,Germany,2015,4.76157999038696,65.7365353514053,81686611.0,2.93379,4755.29531,,,1909.85383,,2977781.0,68.23291015625,33.95677
DEU,德国,Germany,2016,4.74631023406982,65.5385099359924,82348669.0,2.94039,4839.84645,,,1945.70514,,3043084.0,67.9464111328125,33.58129
DEU,德国,Germany,2017,4.77830982208252,65.2493405041228,82657002.0,3.0471,5058.39528,,,2006.65327,,3091694.0,68.4692306518555,
DEU,德国,Germany,2018,4.88400983810425,64.9876223341919,82905782.0,3.11011,5209.2143,,,,,3127927.0,69.1634292602539,
DEU,德国,Germany,2019,5.02757978439331,64.709009583285,83092962.0,3.16701,5398.63462,,,,,,72.705078125,
DEU,德国,Germany,2020,5.51600980758667,64.3935455490144,83160871.0,3.13136,5390.05249,,,,,,72.3894195556641,
DEU,德国,Germany,2021,5.36734008789062,64.007731691245,83196078.0,3.12941,5520.57631,5234.0,35.0,,,,75.6655426025391,
DEU,德国,Germany,2022,5.23916006088257,63.6285624993021,83177813.0,3.13236,5787.44181,,,,37.0,,77.3656997680664,
DEU,德国,Germany,2023,,63.2943857808214,83287273.0,,,,,,,,78.5947494506836,
DEU,德国,Germany,2024,,62.8942524078782,83516593.0,,,,,,,,,
FRA,法国,France,2015,,62.9034115542196,66548272.0,2.22702,4310.70957,,,1798.3546,,2424158.0,62.7859306335449,32.96949
FRA,法国,France,2016,,62.632173096763,66724104.0,2.22238,4392.04699,,,1804.90705,,2480186.0,64.7276763916016,31.62493
FRA,法国,France,2017,5.46482992172241,62.3980765439097,66918020.0,2.19888,4546.76212,,,1805.54395,,2532831.0,65.8022308349609,
FRA,法国,France,2018,5.42540979385376,62.1793955597294,67158348.0,2.19666,4670.53241,,,,,2618729.0,67.5435180664062,
FRA,法国,France,2019,5.36638021469116,61.9811666181521,67382061.0,2.19179,4773.97249,,,,,,67.7331314086914,
FRA,法国,France,2020,5.65872001647949,61.8134010588151,67601110.0,2.27464,4883.2219,,,,,,68.8709411621094,
FRA,法国,France,2021,5.41742992401123,61.7040398746753,67842811.0,2.21404,5058.05374,4715.0,27.0,,,,69.9397888183594,
FRA,法国,France,2022,5.32435989379883,61.5912351189772,68184457.0,2.23312,5181.84576,,,,51.0,,71.5107269287109,
FRA,法国,France,2023,,61.4660792751563,68372286.0,,,,,,,,70.4536437988281,
FRA,法国,France,2024,,61.3483170751607,68551653.0,,,,,,,,,
GBR,英国,United Kingdom,2015,5.55452013015747,64.349417600625,65088000.0,2.27566,4389.5625,,,1349.98182,,2330334.47948,56.4859008789062,35.35066
GBR,英国,United Kingdom,2016,5.42795991897583,64.1335648731091,65607000.0,2.32052,4434.65942,,,1305.4251,,2387280.16667,58.110481262207,37.99046
GBR,英国,United Kingdom,2017,5.45256996154785,63.9059468954247,65966000.0,2.32602,4472.69458,,,,,2431886.37666,59.6335182189941,
GBR,英国,United Kingdom,2018,5.20437002182007,63.6924638374832,66289000.0,2.71124,,,,,,2467086.41216,61.1251182556152,
GBR,英国,United Kingdom,2019,5.26115989685059,63.5198822523142,66631000.0,2.6708,,,,,,,65.4840774536133,
GBR,英国,United Kingdom,2020,5.43935012817383,63.4278786786019,66744000.0,2.93883,,,,,,,69.3701629638672,
GBR,英国,United Kingdom,2021,5.90682983398438,63.4465589396069,66984000.0,2.913555,,4603.0,27.0,,,,76.7174911499023,
GBR,英国,United Kingdom,2022,,63.4404279110136,67604000.0,,,,,,57.0,,79.7250823974609,
GBR,英国,United Kingdom,2023,,63.3527288517877,68492000.0,,,,,,,,80.4987716674805,
GBR,英国,United Kingdom,2024,,63.3151859345352,69226000.0,,,,,,,,,
IND,印度,India,2015,4.11457014083862,65.6177857140772,1328024498.0,0.6931,214.34935,,,95.54919,,32107419.0,27.0646411471569,
IND,印度,India,2016,4.25407981872559,65.9731160836743,1343944296.0,0.66984,,,,,,32391800.0,27.0875990028504,
IND,印度,India,2017,4.30544996261597,66.3274225183491,1359657400.0,0.66603,,,,,,33374107.0,27.7311089156625,
IND,印度,India,2018,4.36373996734619,66.6529850197096,1374659064.0,0.66001,250.00794,,,73.05997,,34337594.0,28.3540737878038,
IND,印度,India,2019,3.89732003211975,66.944203338595,1389030312.0,0.65942,,,,,,35148118.0,28.7996949674505,
IND,印度,India,2020,4.29335021972656,67.2377729174314,1402617695.0,0.6477900000000001,259.26325,253.0,32.0,,,,29.5619706114824,
IND,印度,India,2021,4.62949991226196,67.5490478920304,1414203896.0,,,,,,,,31.3171017843903,
IND,印度,India,2022,4.09865814174589,67.8132963616236,1425423212.0,,,,,,,,32.4539938196142,
IND,印度,India,2023,,68.0210944742065,1438069596.0,,,,,,,,34.0091701770575,
IND,印度,India,2024,,68.2295801537644,1450935791.0,,,,,,,,34.4184659748952,
JPN,日本,Japan,2015,3.31221008300781,60.2326202870854,127141000.0,3.24071,5198.48902,,,521.95125,,3845395.0,62.4726600646973,
JPN,日本,Japan,2016,3.14643001556396,59.7647226208824,127076000.0,3.10666,5232.70894,,,502.55447,,3846927.0,63.1872291564941,20.60904
JPN,日本,Japan,2017,3.13057994842529,59.4143459524436,126972000.0,3.16636,5319.83455,,,520.66338,,3853034.0,62.4629783630371,
JPN,日本,Japan,2018,3.07782006263733,59.1635617451289,126811000.0,3.2192,5339.51713,,,524.29128,,3861847.0,62.2089385986328,
JPN,日本,Japan,2019,3.15533995628357,59.0046702146202,126633000.0,3.21824,5376.11987,,,,,,62.1184997558594,
JPN,日本,Japan,2020,3.30628991127014,58.861072796091,126261000.0,3.26458,5450.44287,,,,,,62.1358413696289,
JPN,日本,Japan,2021,3.33563995361328,58.7347384818338,125681593.0,3.288385,5589.76698,5331.0,22.0,,,,63.1702690124512,
JPN,日本,Japan,2022,,58.7384165155584,125124989.0,3.40537,5629.79566,,,,66.0,,64.6288299560547,
JPN,日本,Japan,2023,,58.7888993029413,124516650.0,,,,,,,,64.8912200927734,
JPN,日本,Japan,2024,,58.7831280041029,123975371.0,,,,,,,,,
KOR,韩国,"Korea, Rep.",2015,4.45423984527588,73.2814791976092,51014947.0,3.9782,7020.43916,,,1212.13441,,3268099.0,93.9676513671875,14.76092
KOR,韩国,"Korea, Rep.",2016,4.33309984207153,73.2815119171004,51217803.0,3.98704,7057.16003,,,1227.80109,,3204348.0,93.6577224731445,15.02377
KOR,韩国,"Korea, Rep.",2017,4.32823991775513,73.1104702951829,51361911.0,4.29206,7453.21918,,,1251.10685,,3136395.0,93.7230224609375,
KOR,韩国,"Korea, Rep.",2018,4.45807981491089,72.8334079576546,51585058.0,4.51633,7918.46916,,,1311.43521,,3083800.0,93.3281784057617,
KOR,韩国,"Korea, Rep.",2019,4.68465995788574,72.5261052970989,51764822.0,4.62703,8328.96727,,,,,,93.9989166259766,
KOR,韩国,"Korea, Rep.",2020,4.8017201423645,72.0631744683847,51836239.0,4.79571,8620.009,,,,,,96.8767700195312,
KOR,韩国,"Korea, Rep.",2021,4.86627006530762,71.5403701724822,51769539.0,4.91994,9071.4503,8714.0,32.0,,,,100.359878540039,
KOR,韩国,"Korea, Rep.",2022,5.81446981430054,71.1010946234232,51672569.0,5.21081,9434.7613,,,,69.0,,102.813056945801,
KOR,韩国,"Korea, Rep.",2023,,70.6941593301433,51712619.0,,,,,,,,106.709167480469,
KOR,韩国,"Korea, Rep.",2024,,70.1583600473263,51751065.0,,,,,,,,,
USA,美国,United States,2015,4.93063020706177,66.4980809064681,321815121.0,2.77328,3858.04036,,,,,19531727.01137,88.8894119262695,21.52057
USA,美国,United States,2016,4.78327989578247,66.3180403833652,324353340.0,2.83676,3809.11997,,,,,19288423.51018,88.8350524902344,19.42953
USA,美国,United States,2017,5.09296989440918,66.1219291236341,326608609.0,2.88357,3931.60035,,,,,19014530.0944,88.1673889160156,
USA,美国,United States,2018,4.89502000808716,65.9220436398193,328529577.0,2.99045,4226.79136,,,,,18941967.42457,88.2991790771484,
USA,美国,United States,2019,4.95746994018555,65.718674264212,330226227.0,3.14704,4265.92083,,,,,,87.8887100219727,
USA,美国,United States,2020,5.39531993865967,65.5352308319268,331577720.0,3.42467,4464.09495,,,,,,87.5676574707031,
USA,美国,United States,2021,5.42038011550903,65.380112850592,332099760.0,3.471565,4825.1804,4412.0,21.0,,,,84.8550872802734,
USA,美国,United States,2022,,65.1985544146872,334017321.0,3.58623,,,,,50.0,,79.361930847168,
USA,美国,United States,2023,,64.9735428685564,336806231.0,,,,,,,,,
USA,美国,United States,2024,,64.7466928651531,340110988.0,,,,,,,,,
