Date,Country,AI_projects_fractional_count_based_on_contributions
2011,CAN,5.804074371
2012,CAN,23.9896206
2013,CAN,27.02997185
2014,CAN,47.75349772
2015,CAN,70.56118169
2016,CAN,121.6779808
2017,CAN,290.1341093
2018,CAN,295.2309309
2019,CAN,295.562921
2020,CAN,307.6551086
2021,CAN,185.4859994
2022,CAN,70.94918289
2023,CAN,58.77703117830882
2011,CHN,3.004264097
2012,CHN,7.022063837
2013,CHN,21.76884638
2014,CHN,57.93597287
2015,CHN,101.8663667
2016,CHN,264.2924566
2017,CHN,701.9058822
2018,CHN,943.6508226
2019,CHN,839.4007246
2020,CHN,571.6760776
2021,CHN,527.189301
2022,CHN,337.5389332
2023,CHN,247.03698748345587
2011,DEU,14.92419846
2012,DEU,18.40155644
2013,DEU,29.95424455
2014,DEU,47.46520674
2015,DEU,86.69475171
2016,DEU,187.7235845
2017,DEU,376.3454493
2018,DEU,416.4778386
2019,DEU,430.1364309
2020,DEU,411.2955738
2021,DEU,279.2440838
2022,DEU,157.517794
2023,DEU,104.28883590220586
2011,FRA,5.480969838
2012,FRA,9.386760642
2013,FRA,16.75208419
2014,FRA,28.8700506
2015,FRA,51.57970721
2016,FRA,92.44745565
2017,FRA,170.172452
2018,FRA,226.9971616
2019,FRA,223.3880644
2020,FRA,183.3563865
2021,FRA,134.1736603
2022,FRA,80.74289074
2023,FRA,66.22469329705882
2011,GBR,9.775469533
2012,GBR,17.29733732
2013,GBR,41.07332116
2014,GBR,71.41047919
2015,GBR,124.2160914
2016,GBR,218.6147601
2017,GBR,426.2767406
2018,GBR,540.9432446
2019,GBR,539.1132163
2020,GBR,458.3540365
2021,GBR,311.6878156
2022,GBR,168.6685873
2023,GBR,118.8619458422794
2011,IND,1.022437967
2012,IND,2.242946289
2013,IND,6.140030341
2014,IND,21.19079936
2015,IND,35.85229435
2016,IND,131.6596596
2017,IND,445.4942039
2018,IND,788.4528414
2019,IND,849.2272628
2020,IND,1159.374894
2021,IND,689.2411637
2022,IND,378.1205178
2023,IND,274.5739687132353
2011,JPN,12.14698456
2012,JPN,14.3358676
2013,JPN,17.89885029
2014,JPN,34.03805376
2015,JPN,54.82687434
2016,JPN,93.99084642
2017,JPN,195.4636701
2018,JPN,199.6558448
2019,JPN,179.6072646
2020,JPN,122.4149215
2021,JPN,79.97892698
2022,JPN,49.31008302
2023,JPN,48.37646798639705
2011,KOR,0.006749002447
2012,KOR,2.007518797
2013,KOR,3.713679432
2014,KOR,2.608059711
2015,KOR,9.109314111
2016,KOR,44.9767773
2017,KOR,162.9079301
2018,KOR,188.86255
2019,KOR,251.4919408
2020,KOR,183.4748423
2021,KOR,160.7692832
2022,KOR,102.208073
2023,KOR,55.29154417959558
2011,USA,63.264285
2012,USA,94.47924922
2013,USA,163.5565782
2014,USA,291.4254917
2015,USA,475.9718275
2016,USA,983.4373179
2017,USA,1818.91055
2018,USA,2126.193128
2019,USA,1856.152148
2020,USA,1701.767476
2021,USA,1064.719312
2022,USA,676.3419467
2023,USA,536.0667586525735
,,
2013,ARE,0.03389830508
2015,ARE,2.593656875
2016,ARE,4.662811563
2017,ARE,15.59396799
2018,ARE,18.0559545
2019,ARE,10.23256802
2020,ARE,12.47065885
2021,ARE,15.12640579
2022,ARE,10.91979746
2023,ARE,11.78365985641544