Year,Country,Country_CN,XA_Compute,XB_Talent,XE_Capital
2026,USA,美国,0.9667162194241385,0.6933027452006029,1.0
2026,CHN,中国,0.40002616832987714,0.44920577080890084,0.724332545323157
2026,GBR,英国,0.34730404205044363,0.04903116504465962,0.7075569337478368
2026,DEU,德国,0.6294378057817065,0.6643566237425065,0.48090205060212426
2026,KOR,韩国,0.2702648062414799,0.7935787052286299,0.5164956218900824
2026,JPN,日本,0.5636558329786997,0.6198685010985381,0.33821533049239916
2026,FRA,法国,0.35563668414155614,0.6127867055592428,0.6186504359013647
2026,CAN,加拿大,0.237985813154796,0.6441962771485557,0.4864375613455834
2026,ARE,阿联酋,0.07032640335085598,0.43584293689266773,0.27603932416436683
2026,IND,印度,0.19319547072124663,0.009824616858815804,0.40459675425190633
2027,USA,美国,1.011291233164775,0.7184973861972787,1.0654287609290212
2027,CHN,中国,0.40008859407468583,0.4656996544536486,0.8215952888289344
2027,GBR,英国,0.3484085556954615,0.04953840848935757,0.8254796820677497
2027,DEU,德国,0.637580040272615,0.6665228406739517,0.5286530476123646
2027,KOR,韩国,0.2973356237041765,0.7968795489313144,0.6090390705792476
2027,JPN,日本,0.5756133428179858,0.6220388674806225,0.4131682282187374
2027,FRA,法国,0.3642820788880047,0.614858440275307,0.6850384868999241
2027,CAN,加拿大,0.24469123748364452,0.6462783704232102,0.6019535058046532
2027,ARE,阿联酋,0.07899305640060456,0.4401581050874767,0.3143981722320162
2027,IND,印度,0.2063185188953378,0.011449840460795734,0.5919706202115966
2028,USA,美国,1.0569716265514937,0.743413739723185,1.1282709186181619
2028,CHN,中国,0.40027634018423425,0.48285700387727337,0.9289593062430931
2028,GBR,英国,0.349508723006522,0.05005449083616093,0.9368969321275953
2028,DEU,德国,0.6447487231781991,0.6686807471134073,0.5688548615898311
2028,KOR,韩国,0.3248436612233465,0.8001732528770822,0.6813596608222415
2028,JPN,日本,0.5868137643603515,0.6242017596433617,0.47487189713416317
2028,FRA,法国,0.3724126212761725,0.6169228554511327,0.7495674372183289
2028,CAN,加拿大,0.24974004987215714,0.6483526014741433,0.7177531497887373
2028,ARE,阿联酋,0.08857827296361756,0.44450216459665876,0.3580563107709583
2028,IND,印度,0.22015922634497967,0.013341199911709284,0.801095413033114
2029,USA,美国,1.1036671618395026,0.7679916578180751,1.1885403749172052
2029,CHN,中国,0.40059683066415597,0.5006974516304072,1.0467291623005541
2029,GBR,英国,0.350604511904439,0.050580205591993076,1.0376583500830427
2029,DEU,德国,0.6510404627413189,0.6708302762927982,0.6025346024921968
2029,KOR,韩国,0.35240911041429496,0.8034596612682186,0.7341818751985437
2029,JPN,日本,0.5972815791234423,0.6263570994099309,0.5216213584777771
2029,FRA,法国,0.3800301950397928,0.6189798815954736,0.8114155354788186
2029,CAN,加拿大,0.25349291084119163,0.6504189071577695,0.8264526088443092
2029,ARE,阿联酋,0.09914187025046674,0.44887503579432564,0.4077043956256492
2029,IND,印度,0.23473320833553962,0.015541307247023963,1.000416861518549
2030,USA,美国,1.151268282282831,0.792179034585989,1.2464889780486523
2030,CHN,中国,0.401056704068298,0.51923991222278,1.1750479769061961
2030,GBR,英国,0.35169589102486465,0.051116477871218244,1.1260334068641384
2030,DEU,德国,0.6565473271421866,0.6729713628521082,0.631275692540822
2030,KOR,韩国,0.37965050010848284,0.8067386197899209,0.7720002771569648
2030,JPN,日本,0.607050323955008,0.6285048099649843,0.5559652155617507
2030,FRA,法国,0.387141993005661,0.621029450489607,0.8702058997714022
2030,CAN,加拿大,0.25625586665810135,0.6524772256358081,0.9236026142353473
2030,ARE,阿联酋,0.11073829689833535,0.4532766330936591,0.46409599171873206
2030,IND,印度,0.2500531564833748,0.018099252876230508,1.1648711743466509
2031,USA,美国,1.1855634438870235,0.8159328693154115,1.302575144086206
2031,CHN,中国,0.39971535729916186,0.5385024718342883,1.313874465712919
2031,GBR,英国,0.35206698044357776,0.051664386639816616,1.2024332738987225
2031,DEU,德国,0.6372418956365398,0.6751039428413056,0.6567641926747696
2031,KOR,韩国,0.3936094299935237,0.8100099756364516,0.799892884755702
2031,JPN,日本,0.6025528502890696,0.6306448158607567,0.5818372796762417
2031,FRA,法国,0.3843560167581694,0.6230714951916263,0.9259962529854293
2031,CAN,加拿大,0.23973048147460801,0.6545274963772105,1.0082526105457523
2031,ARE,阿联酋,0.12267316336907094,0.45770686489335116,0.528039510507257
2031,IND,印度,0.26500429139000087,0.021071467999433602,1.2868616794289147
2032,USA,美国,1.2292799700542858,0.8392202183243203,1.3574262564510569
2032,CHN,中国,0.3998677431635703,0.5585022874984159,1.4629693379147133
2032,GBR,英国,0.3529059076811649,0.05222519050121174,1.268685061167475
2032,DEU,德国,0.6365143616909437,0.6772279537218244,0.6805407516793577
2032,KOR,韩国,0.415286657368106,0.813273577536661,0.8220155869066073
2032,JPN,日本,0.6073665377551938,0.6327770430226888,0.6027917246401177
2032,FRA,法国,0.3879663094654802,0.6251059500403094,0.9792167204736792
2032,CAN,加拿大,0.24014167792520966,0.6565696601596828,1.0820854229944987
2032,ARE,阿联酋,0.1360926587585766,0.4621656335259607,0.6003829685203824
2032,IND,印度,0.2813575531426799,0.024522657516724784,1.37257983287419
2033,USA,美国,1.2822897915009488,0.8620190351942113,1.411799845966296
2033,CHN,中国,0.40127503827667804,0.5792554988887414,1.621894037679291
2033,GBR,英国,0.35415778160956995,0.05280035750565559,1.3272769434497589
2033,DEU,德国,0.6496298314969019,0.6793433343676076,0.7039098122899841
2033,KOR,韩国,0.4443752653788045,0.8165292757788699,0.8413209111403659
2033,JPN,日本,0.6198842861882835,0.6349014187545761,0.6214632787766936
2033,FRA,法国,0.39686645882194527,0.6271327506585694,1.0305805795883198
2033,CAN,加拿大,0.25101684507485716,0.6586036590708071,1.1480922193011427
2033,ARE,阿联酋,0.1512015013937715,0.46665283520825757,0.6819895255838009
2033,IND,印度,0.2992251408447218,0.028526791785079216,1.4329840691180673
2034,USA,美国,1.3444234841924032,0.8843189047575988,1.4665464403477004
2034,CHN,中国,0.4037237374929595,0.6007771561216488,1.790023577436703
2034,GBR,英国,0.35576400895030685,0.05339159950027609,1.380803978174814
2034,DEU,德国,0.6739483425319358,0.6814500250657116,0.7279362949751355
2034,KOR,韩国,0.4808450392495575,0.8197769222351078,0.8597718841823129
2034,JPN,日本,0.6389965664215793,0.6370178717432446,0.6396374704807687
2034,FRA,法国,0.4103132058930937,0.6291518339564866,1.080989686181237
2034,CAN,加拿大,0.2698839814759631,0.6606294365087669,1.2095246426886346
2034,ARE,阿联酋,0.16821468588205293,0.47116835999362067,0.7737019339631585
2034,IND,印度,0.31870635835752803,0.033168136877828186,1.4779974176603763
2035,USA,美国,1.41572649703989,0.906121680732318,1.5225748534292427
2035,CHN,中国,0.4070515081262818,0.6230811672852217,1.9665732846929282
2035,GBR,英国,0.3576763002631276,0.05400091156232572,1.4316537941212581
2035,DEU,德国,0.7082145615770162,0.6835479675164833,0.7534770120660091
2035,KOR,韩国,0.5250463026670107,0.8230163703846973,0.8786414442246702
2035,JPN,日本,0.6640867547594453,0.639126332062756,0.6584823750745792
2035,FRA,法国,0.4279123364464559,0.6311631381339278,1.131448235221146
2035,CAN,加拿大,0.2959697579994444,0.6626469371826801,1.2693255119161317
2035,ARE,阿联酋,0.1873758507994011,0.47571209172655765,0.8762946691411587
2035,IND,印度,0.339911977213988,0.038542291301533485,1.5147655041988368
